,missing_count,missing_percentage
thumbnail_url,11481.0,100.0
medium_url,11481.0,100.0
host_acceptance_rate,11481.0,100.0
xl_picture_url,11481.0,100.0
neighbourhood_group_cleansed,11481.0,100.0
jurisdiction_names,11481.0,100.0
license,11477.0,99.96515982928317
square_feet,11314.0,98.54542287257208
monthly_price,10761.0,93.72876927096942
weekly_price,10372.0,90.34056266875707
notes,8152.0,71.00426792091281
host_about,6470.0,56.35397613448306
access,6421.0,55.92718404320182
house_rules,5926.0,51.615712916993296
interaction,5655.0,49.25529135092762
neighborhood_overview,5330.0,46.42452748018465
host_response_rate,5104.0,44.456057834683385
host_response_time,5104.0,44.456057834683385
transit,4342.0,37.819005313126034
space,4284.0,37.313822837731905
security_deposit,4280.0,37.27898266701507
cleaning_fee,3567.0,31.06872223673896
review_scores_checkin,2748.0,23.93519728246668
review_scores_value,2748.0,23.93519728246668
review_scores_location,2746.0,23.91777719710827
review_scores_accuracy,2746.0,23.91777719710827
review_scores_communication,2743.0,23.891647069070636
host_neighbourhood,2742.0,23.882937026391428
review_scores_cleanliness,2742.0,23.882937026391428
review_scores_rating,2734.0,23.813256684957757
reviews_per_month,2554.0,22.245449002700113
last_review,2554.0,22.245449002700113
first_review,2554.0,22.245449002700113
summary,618.0,5.382806375751241
description,303.0,2.639142931800366
zipcode,256.0,2.2297709258775367
host_location,70.0,0.6097029875446389
state,65.0,0.5661527741485933
bedrooms,30.0,0.2613012803762738
host_verifications,23.0,0.20033098162180996
host_total_listings_count,23.0,0.20033098162180996
host_since,23.0,0.20033098162180996
host_name,23.0,0.20033098162180996
host_identity_verified,23.0,0.20033098162180996
host_picture_url,23.0,0.20033098162180996
host_thumbnail_url,23.0,0.20033098162180996
host_is_superhost,23.0,0.20033098162180996
host_listings_count,23.0,0.20033098162180996
host_has_profile_pic,23.0,0.20033098162180996
name,22.0,0.19162093894260082
bathrooms,21.0,0.1829108962633917
beds,18.0,0.1567807682257643
market,14.0,0.1219405975089278
neighbourhood,2.0,0.017420085358418255
listing_url,0.0,0.0
last_scraped,0.0,0.0
id,0.0,0.0
experiences_offered,0.0,0.0
city,0.0,0.0
neighbourhood_cleansed,0.0,0.0
street,0.0,0.0
host_id,0.0,0.0
host_url,0.0,0.0
picture_url,0.0,0.0
scrape_id,0.0,0.0
accommodates,0.0,0.0
bed_type,0.0,0.0
property_type,0.0,0.0
room_type,0.0,0.0
country,0.0,0.0
longitude,0.0,0.0
latitude,0.0,0.0
country_code,0.0,0.0
smart_location,0.0,0.0
minimum_nights_avg_ntm,0.0,0.0
maximum_maximum_nights,0.0,0.0
minimum_maximum_nights,0.0,0.0
maximum_minimum_nights,0.0,0.0
minimum_minimum_nights,0.0,0.0
maximum_nights,0.0,0.0
minimum_nights,0.0,0.0
extra_people,0.0,0.0
guests_included,0.0,0.0
price,0.0,0.0
amenities,0.0,0.0
is_location_exact,0.0,0.0
calendar_last_scraped,0.0,0.0
availability_365,0.0,0.0
maximum_nights_avg_ntm,0.0,0.0
calendar_updated,0.0,0.0
number_of_reviews_ltm,0.0,0.0
number_of_reviews,0.0,0.0
has_availability,0.0,0.0
availability_30,0.0,0.0
availability_60,0.0,0.0
availability_90,0.0,0.0
instant_bookable,0.0,0.0
requires_license,0.0,0.0
is_business_travel_ready,0.0,0.0
cancellation_policy,0.0,0.0
require_guest_phone_verification,0.0,0.0
require_guest_profile_picture,0.0,0.0
calculated_host_listings_count,0.0,0.0
calculated_host_listings_count_entire_homes,0.0,0.0
calculated_host_listings_count_private_rooms,0.0,0.0
calculated_host_listings_count_shared_rooms,0.0,0.0
